Opentime,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1700582400000,36975.03000000,37500.00000000,36580.00000000,36980.00000000,11546.84780000,1700596799999,427329907.95478670,529623,5663.48720000,209630281.02994820,0
1700596800000,36979.99000000,37170.00000000,35735.00000000,35741.65000000,11368.71586000,1700611199999,414612822.61324580,455214,5225.25251000,190660105.49480880,0
1700611200000,35741.65000000,36380.00000000,35632.01000000,36380.00000000,8021.60838000,1700625599999,289522605.45134760,254733,4719.37208000,170405897.77532050,0
1700625600000,36379.99000000,36558.87000000,36325.44000000,36439.81000000,4670.23906000,1700639999999,170190229.23372220,176658,2470.19417000,90013897.19094760,0
1700640000000,36439.80000000,36773.53000000,36391.03000000,36463.93000000,4677.77640000,1700654399999,171097624.56785760,210077,2324.26608000,85023789.50151610,0
1700654400000,36463.94000000,36650.00000000,36239.20000000,36481.14000000,6621.28988000,1700668799999,241570656.80744210,278280,3127.57910000,114112655.23455700,0
1700668800000,36481.15000000,37431.21000000,36372.58000000,37289.98000000,10097.37881000,1700683199999,373258536.95785120,382300,5389.76995000,199234006.68342330,0
1700683200000,37289.98000000,37861.10000000,37214.81000000,37408.34000000,10963.01444000,1700697599999,411501369.40912730,346326,5015.53036000,188355221.94018910,0
1700697600000,37408.35000000,37535.10000000,37240.00000000,37299.69000000,4156.03807000,1700711999999,155328951.62777820,166641,1927.02698000,72030667.24772770,0
1700712000000,37299.70000000,37411.59000000,37267.07000000,37369.21000000,2658.47303000,1700726399999,99246597.94345440,115149,1133.36292000,42312155.20967310,0
1700726400000,37369.22000000,37653.44000000,37159.95000000,37370.00000000,5573.62407000,1700740799999,208537426.86717970,188897,2493.27619000,93305150.03531010,0
1700740800000,37370.00000000,37530.00000000,36870.00000000,36951.34000000,5765.71549000,1700755199999,214469111.65750160,227310,2773.05999000,103169727.80700950,0
1700755200000,36951.34000000,37350.00000000,36917.00000000,37281.42000000,3452.87271000,1700769599999,128373304.52114180,177009,1760.13288000,65431062.20838960,0
1700769600000,37281.42000000,37385.00000000,37203.65000000,37294.28000000,2221.20545000,1700783999999,82871256.23709160,117278,999.49236000,37290581.43671050,0
